TipoHabitacion,PrecioPorNoche,MetodoPago,FrecuenciaVisitas,AfiliadoFidelidad,MotivoViaje,PaisOrigen,AtencionRecepcion,LimpiezaHabitacion,Ruido,Confort,CalidadServicio,VariedadRestaurante,FacilidadReserva,Calificacion
Estándar,161.08,Efectivo,4,Sí,Vacaciones,Brasil,2,2,4,1,4,3,3,3
Premium,164.24,Efectivo,6,No,Negocios,México,4,3,4,5,2,3,2,3
Premium,97.44,Efectivo,3,Sí,Vacaciones,Alemania,1,5,5,1,5,4,5,4
Familiar,87.35,Efectivo,3,Sí,Evento,España,3,2,1,5,1,1,2,2
Suite,123.13,Tarjeta,5,Sí,Vacaciones,Brasil,3,5,1,3,5,3,2,3
Premium,154.47,Tarjeta,8,Sí,Evento,Alemania,1,4,1,1,3,4,1,3
Premium,125.56,Tarjeta,8,No,Vacaciones,EEUU,1,1,4,2,3,1,1,2
Suite,56.92,Efectivo,3,No,Negocios,Alemania,5,4,4,3,5,3,4,4
Premium,87.89,Online,8,Sí,Negocios,EEUU,1,3,2,1,4,3,1,3
Estándar,117.04,Efectivo,8,No,Vacaciones,Alemania,2,4,1,4,3,2,5,3
Estándar,116.97,Efectivo,3,No,Vacaciones,España,5,1,4,1,2,5,5,3
Suite,198.9,Tarjeta,2,No,Vacaciones,Alemania,4,2,4,1,2,1,2,2
Familiar,64.56,Efectivo,2,No,Negocios,México,5,5,1,2,2,4,1,2
Familiar,140.22,Tarjeta,9,No,Otro,EEUU,5,2,1,3,5,2,4,3
Suite,179.56,Efectivo,7,Sí,Vacaciones,Colombia,3,4,4,4,3,3,1,2
Suite,210.86,Transferencia,6,Sí,Otro,Alemania,1,3,5,3,4,4,4,4
Estándar,103.82,Online,7,Sí,Vacaciones,EEUU,2,4,4,3,2,2,2,2
Familiar,139.66,Online,8,No,Evento,Colombia,1,1,2,4,4,2,5,3
Premium,142.79,Tarjeta,1,No,Negocios,EEUU,3,1,3,4,2,5,1,2
Estándar,127.82,Transferencia,8,Sí,Otro,Argentina,1,3,1,2,5,2,1,2
Suite,116.05,Online,3,Sí,Otro,EEUU,2,2,2,5,2,1,5,2
Familiar,137.44,Tarjeta,3,Sí,Negocios,Colombia,1,1,5,2,5,5,5,4
Premium,40.0,Efectivo,6,No,Otro,Colombia,3,1,3,4,3,5,3,3
Premium,147.28,Efectivo,4,No,Vacaciones,España,2,3,4,1,3,3,3,3
Estándar,125.05,Transferencia,4,No,Otro,Brasil,1,2,1,1,4,3,3,2
Familiar,111.1,Online,4,Sí,Vacaciones,Argentina,3,4,4,3,2,1,5,3
Familiar,201.87,Efectivo,9,No,Otro,Alemania,3,5,2,3,3,4,3,3
Suite,93.0,Tarjeta,8,Sí,Evento,Alemania,5,3,1,5,1,1,1,3
Familiar,103.88,Efectivo,3,No,Otro,Argentina,2,2,4,5,1,5,5,3
Familiar,199.66,Efectivo,1,Sí,Otro,EEUU,2,5,1,5,4,3,1,4
Estándar,86.72,Online,1,No,Vacaciones,Argentina,1,3,2,5,3,1,5,3
Familiar,98.0,Online,1,No,Negocios,México,5,4,4,1,5,3,2,4
Premium,114.12,Tarjeta,4,No,Evento,México,2,4,3,4,1,1,1,3
Estándar,153.63,Transferencia,6,No,Negocios,Brasil,3,2,5,5,3,1,5,2
Estándar,128.31,Transferencia,4,No,Vacaciones,EEUU,2,2,4,2,5,2,4,3
Suite,68.29,Efectivo,3,Sí,Evento,España,5,4,1,5,2,1,5,4
Familiar,98.71,Tarjeta,8,No,Otro,Colombia,4,4,4,1,3,3,2,2
Suite,95.71,Transferencia,8,No,Negocios,EEUU,3,3,1,3,2,1,5,2
Premium,116.91,Transferencia,6,No,Negocios,Alemania,2,2,2,2,1,4,2,2
Estándar,137.03,Efectivo,9,No,Negocios,México,3,5,5,5,2,2,3,4
Estándar,136.73,Tarjeta,1,No,Otro,México,1,4,1,1,1,1,1,2
Estándar,48.96,Transferencia,8,No,Vacaciones,México,3,5,4,3,4,4,2,3
Premium,162.56,Online,6,Sí,Otro,España,2,2,2,5,4,3,4,3
Premium,130.1,Online,1,No,Otro,Alemania,1,2,3,1,1,4,1,1
Suite,175.38,Efectivo,4,Sí,Vacaciones,España,1,1,4,1,5,2,5,3
Suite,137.77,Efectivo,5,No,Vacaciones,Colombia,1,4,5,4,4,3,5,4
Suite,164.05,Efectivo,7,No,Otro,EEUU,4,2,2,1,5,1,2,3
Familiar,138.66,Efectivo,8,Sí,Vacaciones,EEUU,4,2,4,5,5,1,4,4
Estándar,173.85,Transferencia,9,No,Negocios,Argentina,1,4,1,1,5,4,2,3
Estándar,140.89,Tarjeta,6,No,Evento,México,2,1,1,2,3,1,4,2
Suite,116.08,Efectivo,9,No,Vacaciones,Argentina,1,1,1,1,3,3,2,2
Estándar,210.9,Efectivo,4,Sí,Evento,México,1,1,4,1,5,3,3,2
Suite,155.56,Transferencia,8,No,Negocios,Colombia,3,1,5,2,1,1,3,1
Familiar,142.95,Efectivo,3,No,Vacaciones,España,3,3,1,5,4,4,3,4
Familiar,68.95,Efectivo,4,No,Otro,Brasil,3,4,4,3,2,1,2,3
Premium,68.47,Tarjeta,4,No,Otro,Brasil,5,4,4,4,3,5,1,4
Familiar,131.71,Online,6,Sí,Negocios,Brasil,3,4,5,3,3,1,5,3
Suite,125.82,Efectivo,9,No,Vacaciones,Alemania,3,1,2,5,2,2,1,2
Familiar,95.44,Transferencia,6,No,Otro,Colombia,2,1,2,5,5,1,5,3
Premium,125.64,Tarjeta,1,No,Vacaciones,EEUU,4,2,4,2,2,5,4,3
Estándar,183.55,Transferencia,5,Sí,Evento,EEUU,4,3,2,3,5,2,3,3
Suite,147.82,Tarjeta,9,No,Otro,España,4,4,3,1,3,4,3,2
Estándar,74.36,Tarjeta,5,No,Negocios,Argentina,5,3,5,2,2,2,5,3
Premium,115.54,Efectivo,6,No,Otro,Colombia,1,4,4,2,1,3,3,2
Premium,87.8,Efectivo,3,No,Negocios,Alemania,3,1,2,4,4,5,1,3
Premium,104.49,Efectivo,8,No,Negocios,Colombia,2,1,2,2,4,3,2,2
Estándar,103.46,Online,4,No,Evento,Colombia,5,4,5,3,4,3,3,3
Estándar,100.89,Online,4,Sí,Evento,España,4,5,1,5,2,2,3,4
Estándar,69.79,Transferencia,5,No,Negocios,Alemania,5,1,2,4,5,2,4,3
Estándar,114.89,Efectivo,9,No,Otro,Brasil,2,2,5,1,3,3,2,2
Premium,97.58,Online,8,No,Negocios,EEUU,5,1,1,3,4,4,5,3
Premium,40.0,Efectivo,7,Sí,Vacaciones,México,4,2,4,1,2,1,2,2
Suite,202.12,Online,5,No,Vacaciones,Argentina,1,3,1,2,4,1,2,2
Suite,163.55,Online,9,Sí,Otro,Brasil,4,1,2,3,5,5,5,4
Estándar,104.95,Tarjeta,9,Sí,Otro,Alemania,4,1,4,4,1,2,2,2
Familiar,120.75,Efectivo,2,No,Evento,EEUU,4,3,4,4,1,1,4,3
Familiar,73.13,Efectivo,4,No,Vacaciones,Brasil,5,2,1,1,3,4,1,2
Premium,187.83,Online,8,Sí,Negocios,España,2,5,4,5,1,5,2,3
Premium,195.89,Efectivo,1,No,Negocios,Argentina,4,2,1,4,1,2,1,2
Premium,126.27,Online,5,No,Vacaciones,Alemania,5,4,1,1,2,1,4,2
Suite,160.94,Efectivo,8,No,Vacaciones,Alemania,2,4,1,5,2,3,4,4
Suite,127.01,Tarjeta,2,Sí,Evento,EEUU,1,4,5,3,3,4,2,4
Premium,66.53,Efectivo,2,No,Vacaciones,EEUU,4,3,2,4,3,4,3,3
Premium,103.53,Tarjeta,8,No,Evento,Colombia,3,2,4,4,2,2,2,2
Premium,125.28,Transferencia,9,Sí,Otro,Colombia,5,1,3,1,1,4,1,3
Familiar,101.82,Efectivo,7,No,Otro,Alemania,1,4,2,4,5,2,4,4
Suite,111.25,Efectivo,8,No,Vacaciones,México,1,2,3,1,1,4,1,2
Familiar,116.34,Efectivo,5,Sí,Vacaciones,España,1,1,1,4,1,1,1,2
Familiar,116.76,Tarjeta,1,No,Vacaciones,EEUU,5,2,4,1,5,2,5,3
Premium,122.09,Efectivo,4,No,Vacaciones,Colombia,2,3,2,4,3,4,4,3
Premium,77.58,Efectivo,2,No,Negocios,España,3,4,3,3,2,1,4,3
Estándar,91.32,Online,3,No,Negocios,Argentina,2,5,3,3,3,1,1,2
Estándar,68.62,Transferencia,3,No,Otro,Brasil,4,4,3,1,3,1,4,2
Familiar,159.11,Tarjeta,9,No,Negocios,Brasil,3,4,2,3,3,2,2,3
Suite,40.0,Online,4,No,Vacaciones,Alemania,2,3,5,1,2,2,5,2
Premium,166.14,Tarjeta,2,No,Evento,EEUU,4,1,1,1,3,4,2,3
Premium,175.45,Online,3,Sí,Otro,Brasil,3,4,4,2,3,3,3,3
Familiar,107.91,Transferencia,3,Sí,Vacaciones,Argentina,5,1,3,3,4,3,3,3
Estándar,40.0,Online,7,No,Negocios,EEUU,4,1,2,2,1,5,1,3
Suite,105.55,Tarjeta,8,Sí,Evento,Colombia,2,3,3,2,4,3,3,3
Estándar,117.43,Efectivo,6,No,Evento,Brasil,3,4,2,4,2,3,2,3
Estándar,79.58,Efectivo,4,No,Negocios,México,4,3,5,1,5,4,3,3
Estándar,99.39,Transferencia,6,No,Vacaciones,Brasil,4,3,3,5,5,2,1,3
Estándar,181.21,Tarjeta,1,No,Evento,EEUU,5,5,3,2,4,3,4,4
Premium,146.6,Tarjeta,8,No,Evento,México,4,3,4,4,4,5,5,5
Premium,83.02,Tarjeta,1,Sí,Negocios,España,3,5,2,3,4,4,1,3
Estándar,56.1,Transferencia,5,No,Evento,Brasil,1,1,2,5,1,1,1,3
Suite,106.92,Efectivo,2,No,Evento,EEUU,3,1,5,1,2,1,1,2
Familiar,111.46,Online,6,No,Evento,Brasil,3,2,3,4,3,5,2,4
Suite,139.85,Transferencia,9,Sí,Otro,Brasil,5,2,4,5,4,2,4,4
Suite,98.59,Online,5,Sí,Vacaciones,EEUU,5,1,1,1,1,1,1,2
Suite,140.46,Efectivo,4,No,Vacaciones,México,4,4,4,1,5,2,4,3
Estándar,197.41,Transferencia,2,No,Negocios,Colombia,5,2,4,5,5,3,1,4
Premium,152.62,Efectivo,3,No,Vacaciones,Argentina,4,3,4,4,5,3,2,3
Suite,118.08,Online,6,No,Evento,Brasil,1,2,4,5,4,3,1,4
Estándar,112.67,Tarjeta,8,Sí,Vacaciones,Alemania,2,1,3,2,5,1,3,3
Suite,105.73,Tarjeta,8,No,Otro,España,5,4,4,1,5,1,2,4
Suite,167.23,Online,5,No,Evento,EEUU,5,1,2,3,5,2,1,3
Estándar,94.91,Tarjeta,5,Sí,Evento,Brasil,1,4,2,5,3,2,1,2
Premium,121.81,Online,3,No,Otro,Argentina,5,2,4,5,5,5,1,5
Premium,122.05,Transferencia,7,No,Otro,Colombia,1,3,2,1,1,3,3,2
Familiar,99.93,Transferencia,6,No,Vacaciones,EEUU,4,3,3,1,4,4,3,1
Estándar,65.1,Transferencia,1,No,Vacaciones,Brasil,5,1,1,5,3,4,1,3
Familiar,132.92,Tarjeta,4,Sí,Vacaciones,España,5,4,4,3,3,3,3,4
Familiar,117.56,Efectivo,6,No,Otro,Alemania,4,2,2,1,4,5,1,4
Familiar,140.01,Tarjeta,6,No,Vacaciones,EEUU,5,4,2,1,5,2,3,3
Premium,98.66,Tarjeta,3,No,Negocios,Brasil,3,4,3,2,5,1,4,3
Estándar,168.83,Efectivo,6,No,Vacaciones,México,1,4,3,4,2,5,1,3
Familiar,84.93,Efectivo,6,No,Otro,Colombia,2,2,1,2,5,5,1,3
Estándar,188.48,Efectivo,9,No,Otro,Alemania,3,4,5,3,1,3,5,3
Estándar,50.09,Efectivo,9,No,Negocios,EEUU,2,3,5,4,5,2,5,4
Premium,137.39,Tarjeta,2,No,Evento,Brasil,3,1,5,5,4,4,2,4
Familiar,139.02,Online,4,No,Negocios,Alemania,3,5,1,3,5,4,4,3
Familiar,88.18,Transferencia,9,Sí,Otro,México,3,4,4,3,4,4,4,4
Estándar,136.98,Online,4,Sí,Evento,EEUU,1,3,5,2,3,5,2,3
Suite,171.18,Tarjeta,8,No,Negocios,Alemania,2,3,5,4,2,1,5,4
Premium,40.0,Efectivo,3,Sí,Negocios,EEUU,4,1,2,3,3,2,2,3
Premium,140.11,Transferencia,3,Sí,Evento,EEUU,4,1,2,4,4,1,5,3
Premium,40.0,Transferencia,9,No,Negocios,Alemania,5,5,4,5,2,4,1,5
Premium,81.37,Online,8,Sí,Evento,EEUU,1,5,3,4,3,1,2,3
Familiar,185.17,Tarjeta,1,Sí,Vacaciones,México,1,5,1,2,5,5,3,2
Familiar,96.73,Tarjeta,2,No,Evento,Alemania,1,2,5,2,5,3,5,3
Suite,73.04,Tarjeta,3,No,Negocios,Brasil,3,2,1,3,2,1,1,3
Premium,112.08,Transferencia,2,No,Vacaciones,Argentina,1,3,2,4,3,1,3,2
Premium,202.72,Online,3,No,Otro,Alemania,4,1,1,2,1,1,3,2
Estándar,46.73,Transferencia,8,No,Otro,México,1,4,2,1,1,4,4,3
Familiar,77.95,Transferencia,6,No,Otro,México,3,1,1,2,1,1,5,3
Premium,179.9,Efectivo,7,No,Negocios,México,2,2,2,5,3,2,1,2
Suite,194.31,Online,6,No,Vacaciones,Brasil,1,3,1,1,3,5,5,2
Suite,115.86,Efectivo,1,No,Evento,Brasil,2,4,5,4,3,2,1,3
Familiar,70.44,Tarjeta,3,No,Otro,Argentina,5,5,5,3,4,2,5,3
Suite,203.83,Transferencia,1,No,Otro,Argentina,3,5,4,1,1,4,3,3
Suite,183.78,Online,9,Sí,Vacaciones,EEUU,1,2,1,2,1,1,4,1
Familiar,147.16,Tarjeta,9,No,Vacaciones,EEUU,5,3,3,3,1,5,2,3
Premium,87.5,Online,5,Sí,Vacaciones,España,5,1,4,3,4,5,5,4
Premium,118.04,Transferencia,4,No,Negocios,Argentina,2,2,1,3,4,5,3,3
Suite,113.59,Online,9,No,Vacaciones,Argentina,4,1,3,3,3,1,2,3
Suite,133.23,Tarjeta,9,No,Evento,EEUU,4,4,5,4,1,5,2,4
Premium,178.04,Efectivo,3,Sí,Evento,México,4,1,5,4,1,5,2,3
Familiar,155.18,Transferencia,5,No,Otro,España,4,4,5,4,5,3,3,5
Suite,76.9,Efectivo,3,Sí,Evento,Argentina,3,3,3,2,5,3,1,3
Estándar,175.06,Transferencia,2,No,Vacaciones,México,1,2,2,4,5,5,2,3
Familiar,132.53,Tarjeta,1,No,Evento,Colombia,1,1,1,3,4,2,4,2
Suite,147.48,Transferencia,2,Sí,Otro,Argentina,3,3,4,1,3,1,1,2
Suite,178.66,Efectivo,8,No,Negocios,Brasil,2,3,4,1,2,2,3,3
Estándar,75.54,Transferencia,8,Sí,Evento,Alemania,1,1,5,1,1,2,2,2
Estándar,118.57,Tarjeta,3,No,Otro,Colombia,5,5,2,1,5,1,3,4
Premium,98.74,Transferencia,7,Sí,Otro,Brasil,1,5,1,1,1,1,3,1
Familiar,57.29,Efectivo,7,Sí,Vacaciones,Brasil,3,4,1,5,1,4,2,3
Familiar,133.87,Tarjeta,2,Sí,Otro,México,2,3,4,1,1,4,3,3
Premium,220.46,Efectivo,9,Sí,Evento,EEUU,1,2,4,1,3,4,4,2
Familiar,46.4,Transferencia,3,No,Otro,Alemania,3,2,4,1,1,5,4,2
Familiar,118.71,Online,2,No,Otro,EEUU,5,3,1,2,3,5,5,4
Familiar,145.62,Efectivo,3,No,Vacaciones,EEUU,4,5,4,5,2,5,2,4
Familiar,124.92,Transferencia,2,Sí,Vacaciones,Argentina,5,3,1,1,2,4,2,3
Familiar,115.47,Online,8,No,Evento,Alemania,5,4,5,4,4,1,2,4
Estándar,68.03,Online,5,No,Otro,Alemania,2,3,2,2,1,5,5,3
Familiar,129.31,Tarjeta,3,No,Negocios,Colombia,1,1,4,5,5,1,4,4
Estándar,89.73,Online,5,No,Otro,México,4,5,1,4,4,4,4,3
Familiar,40.0,Efectivo,8,No,Negocios,EEUU,3,1,5,4,4,1,2,3
Premium,167.78,Efectivo,7,Sí,Evento,México,4,1,3,2,2,5,3,3
Suite,158.34,Online,6,No,Vacaciones,México,1,3,5,4,5,1,1,2
Estándar,122.07,Transferencia,1,No,Evento,Argentina,2,3,2,3,1,4,1,3
Familiar,129.16,Efectivo,1,No,Vacaciones,España,1,2,5,2,1,5,2,2
Premium,162.97,Efectivo,1,Sí,Vacaciones,Colombia,3,1,4,2,2,5,2,3
Suite,128.97,Tarjeta,8,Sí,Otro,EEUU,4,3,4,3,3,4,4,3
Estándar,156.16,Transferencia,8,No,Otro,Brasil,5,2,3,2,2,2,4,3
Suite,108.1,Online,7,Sí,Vacaciones,Alemania,1,1,1,4,5,3,3,3
Premium,172.48,Transferencia,6,Sí,Negocios,Alemania,2,2,5,4,3,4,4,3
Estándar,132.83,Tarjeta,4,No,Negocios,México,2,5,3,4,5,1,1,3
Suite,127.76,Tarjeta,1,No,Otro,Colombia,4,4,4,3,1,2,1,3
Familiar,69.2,Transferencia,9,No,Evento,Colombia,5,1,1,4,3,4,4,3
Estándar,131.48,Tarjeta,1,Sí,Negocios,EEUU,3,3,1,3,5,3,1,3
Suite,86.72,Tarjeta,4,No,Vacaciones,EEUU,5,5,2,3,1,5,1,3
Premium,94.47,Tarjeta,3,Sí,Otro,México,4,2,4,3,5,3,1,3
Premium,87.38,Transferencia,7,No,Otro,México,5,4,1,2,3,3,1,3
Estándar,77.35,Tarjeta,5,No,Vacaciones,México,4,1,2,5,1,4,5,3
Suite,204.99,Online,5,No,Evento,España,5,4,2,3,5,5,2,3
Estándar,173.25,Online,4,No,Vacaciones,Colombia,1,5,4,4,4,5,3,3
Estándar,196.81,Efectivo,1,No,Evento,México,2,4,1,3,3,3,5,3
Suite,71.08,Online,5,Sí,Otro,Argentina,4,1,1,1,3,4,3,3
Suite,122.85,Efectivo,4,Sí,Evento,Colombia,4,5,5,2,3,5,5,4
Familiar,68.26,Transferencia,8,Sí,Vacaciones,Brasil,2,2,1,4,1,5,5,2
Suite,92.17,Tarjeta,2,Sí,Otro,Alemania,3,1,2,2,3,1,3,2
Premium,83.27,Online,8,No,Negocios,Alemania,4,4,3,2,5,3,2,4
Estándar,169.58,Efectivo,1,Sí,Otro,Colombia,1,1,4,1,4,2,4,3
Estándar,104.15,Transferencia,4,No,Vacaciones,Brasil,5,5,3,3,5,3,5,5
Premium,162.74,Efectivo,3,No,Vacaciones,Alemania,1,4,1,4,5,4,2,4
Suite,144.16,Tarjeta,5,No,Otro,Alemania,4,2,2,5,3,5,4,4
Premium,212.15,Online,5,No,Otro,Alemania,3,3,3,2,4,5,3,4
Premium,60.82,Transferencia,5,Sí,Otro,EEUU,4,2,4,5,4,1,5,3
Familiar,170.37,Efectivo,4,No,Evento,Brasil,3,1,5,5,4,5,4,3
Premium,165.86,Transferencia,8,No,Negocios,EEUU,2,3,3,3,4,5,2,2
Estándar,81.06,Efectivo,3,Sí,Evento,Colombia,5,5,5,5,2,2,4,4
Premium,160.29,Efectivo,4,No,Vacaciones,Colombia,1,4,1,4,4,3,3,3
Estándar,133.45,Tarjeta,1,No,Otro,España,3,4,1,3,3,5,4,4
Estándar,110.9,Tarjeta,7,No,Evento,EEUU,1,5,4,5,4,4,1,3
Estándar,87.04,Efectivo,1,No,Evento,Colombia,2,1,5,3,5,2,5,3
Suite,91.24,Online,2,No,Vacaciones,EEUU,4,2,5,4,2,2,2,3
Familiar,201.99,Transferencia,7,No,Evento,España,3,3,4,2,5,1,2,2
Estándar,120.03,Transferencia,1,Sí,Vacaciones,Colombia,5,5,3,1,3,4,5,3
Estándar,151.29,Tarjeta,3,No,Evento,Colombia,3,1,4,3,3,2,5,3
Suite,88.36,Online,6,No,Negocios,Colombia,4,1,1,1,4,3,1,2
Estándar,88.81,Efectivo,6,No,Vacaciones,Colombia,4,3,5,2,3,4,1,3
Premium,163.28,Tarjeta,6,No,Negocios,México,5,5,2,4,2,3,2,3
Premium,66.02,Efectivo,2,No,Evento,Brasil,5,2,2,2,5,1,4,3
Familiar,103.39,Efectivo,2,No,Negocios,Brasil,2,2,1,1,3,1,5,1
Estándar,121.36,Tarjeta,6,No,Negocios,EEUU,1,5,5,4,3,5,1,3
Suite,124.45,Online,5,No,Negocios,EEUU,3,4,5,5,2,3,1,3
Premium,112.84,Transferencia,7,Sí,Evento,EEUU,2,2,4,5,1,3,1,2
Suite,135.83,Tarjeta,7,No,Vacaciones,España,1,4,3,3,1,1,4,2
Suite,147.71,Online,5,No,Evento,Argentina,2,5,4,5,2,3,2,4
Premium,149.39,Efectivo,8,No,Evento,México,5,1,2,1,3,4,2,3
Suite,80.57,Tarjeta,6,Sí,Evento,Argentina,5,5,5,5,2,5,1,4
Premium,108.63,Transferencia,5,No,Vacaciones,EEUU,4,1,3,3,2,5,4,3
Suite,167.79,Transferencia,4,No,Otro,EEUU,3,5,4,4,1,4,4,3
Premium,155.79,Efectivo,7,No,Evento,Colombia,3,4,3,5,4,2,2,3
Estándar,65.09,Tarjeta,4,Sí,Evento,Argentina,3,4,2,3,3,3,5,4
Familiar,134.06,Transferencia,5,No,Vacaciones,Colombia,2,5,3,5,5,2,1,4
Premium,40.87,Tarjeta,5,Sí,Otro,Argentina,2,1,5,5,2,2,4,2
Premium,121.88,Transferencia,1,No,Otro,Argentina,3,5,3,1,1,3,5,3
Familiar,195.91,Efectivo,1,Sí,Otro,Colombia,4,1,3,3,4,1,3,2
Premium,82.08,Efectivo,3,Sí,Otro,EEUU,1,4,4,3,3,3,1,2
Premium,86.63,Tarjeta,3,Sí,Vacaciones,Colombia,2,3,3,2,2,1,3,2
Suite,150.56,Online,2,Sí,Vacaciones,EEUU,3,2,3,2,1,4,2,3
Familiar,58.29,Online,2,Sí,Otro,Argentina,5,4,2,3,2,1,2,3
Estándar,94.69,Efectivo,6,No,Negocios,España,2,5,3,1,5,2,2,3
Premium,143.86,Transferencia,1,No,Vacaciones,España,1,5,4,5,3,2,4,3
Familiar,94.63,Online,6,No,Negocios,Alemania,2,1,4,4,3,2,4,3
Suite,110.56,Efectivo,5,No,Negocios,México,1,2,5,5,3,1,5,2
Estándar,149.77,Transferencia,6,No,Otro,Colombia,1,4,2,4,3,2,3,3
Familiar,136.86,Transferencia,5,No,Otro,Brasil,2,2,1,1,1,5,2,2
Estándar,130.67,Online,7,Sí,Evento,Colombia,1,2,5,2,5,3,2,3
Estándar,106.44,Efectivo,1,Sí,Negocios,México,2,4,3,3,2,2,4,2
Estándar,134.8,Transferencia,3,No,Evento,Argentina,2,1,2,1,1,1,4,2
Premium,115.05,Transferencia,6,No,Otro,México,4,1,5,4,4,2,4,4
Premium,138.31,Tarjeta,1,Sí,Negocios,Argentina,5,1,4,3,3,1,1,3
Suite,100.12,Tarjeta,7,Sí,Vacaciones,Alemania,1,3,2,4,3,3,3,3
Suite,112.7,Online,4,Sí,Evento,México,2,2,2,5,2,1,3,3
Familiar,80.4,Tarjeta,3,No,Otro,EEUU,1,3,3,5,3,3,1,2
Suite,118.6,Efectivo,9,Sí,Negocios,Colombia,2,1,2,5,3,2,2,2
Estándar,87.56,Online,1,No,Otro,México,2,4,2,3,2,5,5,3
Estándar,75.44,Online,8,No,Evento,EEUU,2,2,1,2,5,2,5,3
Premium,130.35,Tarjeta,1,No,Otro,México,5,4,3,2,1,3,2,3
Estándar,128.51,Transferencia,5,Sí,Otro,Brasil,1,5,2,4,5,4,5,4
Familiar,151.31,Efectivo,8,Sí,Vacaciones,EEUU,5,2,2,2,2,4,4,4
Estándar,102.75,Efectivo,6,No,Otro,España,5,4,1,2,3,4,3,3
Estándar,136.32,Efectivo,7,No,Negocios,EEUU,5,1,1,4,3,2,4,3
Familiar,142.03,Online,8,No,Negocios,Alemania,5,3,4,4,5,1,5,4
Suite,137.79,Efectivo,6,No,Vacaciones,Argentina,4,4,3,4,4,5,5,4
Suite,86.97,Transferencia,6,No,Negocios,EEUU,1,5,1,3,1,5,3,3
Familiar,125.97,Transferencia,6,No,Otro,México,1,1,2,4,3,2,4,3
Premium,134.57,Tarjeta,5,No,Otro,España,2,5,1,3,2,3,3,3
Estándar,120.29,Efectivo,8,No,Negocios,España,1,3,5,3,5,2,5,3
Familiar,40.0,Online,2,Sí,Evento,EEUU,5,5,4,3,1,4,3,3
Estándar,126.42,Tarjeta,7,Sí,Otro,México,3,4,4,4,4,3,3,3
Premium,208.5,Transferencia,4,Sí,Negocios,España,1,4,3,2,3,5,5,3
Estándar,105.6,Efectivo,1,Sí,Otro,Brasil,3,1,4,2,5,2,3,2
Familiar,90.88,Transferencia,5,No,Otro,EEUU,4,3,3,4,3,1,4,3
Estándar,134.93,Tarjeta,3,Sí,Vacaciones,EEUU,2,3,5,2,5,1,5,4
Suite,132.5,Transferencia,4,No,Negocios,Argentina,2,2,2,4,4,5,3,2
Premium,167.71,Efectivo,7,No,Otro,EEUU,2,2,5,3,2,3,2,1
Premium,69.69,Efectivo,5,Sí,Evento,España,4,4,3,5,2,4,4,4
Premium,149.26,Tarjeta,4,No,Negocios,Colombia,5,5,3,1,1,1,4,3
Familiar,143.62,Efectivo,1,Sí,Evento,México,3,5,3,4,3,1,4,3
Premium,114.31,Transferencia,6,Sí,Negocios,Alemania,1,1,2,3,3,2,1,2
Suite,133.55,Transferencia,6,No,Evento,Alemania,5,3,3,5,3,5,5,4
Familiar,161.18,Online,7,No,Evento,México,2,4,5,3,2,1,1,2
Suite,154.89,Online,1,No,Negocios,Colombia,2,5,2,1,1,2,3,2
Estándar,74.28,Online,4,Sí,Vacaciones,Argentina,5,2,5,2,2,3,5,3
Estándar,152.81,Transferencia,9,No,Vacaciones,Argentina,3,4,2,2,5,1,4,4
Estándar,117.41,Transferencia,6,Sí,Negocios,Argentina,5,1,3,3,3,5,4,2
Estándar,122.91,Tarjeta,2,Sí,Otro,Argentina,4,4,2,1,5,2,4,3
Suite,122.93,Online,4,No,Negocios,México,2,5,1,3,4,3,4,3
Familiar,113.99,Transferencia,6,Sí,Negocios,EEUU,3,1,5,2,5,2,3,3
Familiar,167.67,Tarjeta,4,No,Otro,Brasil,1,2,1,3,5,4,2,3
Premium,116.65,Transferencia,7,No,Negocios,México,2,2,1,5,5,5,5,4
Suite,75.22,Tarjeta,3,No,Negocios,México,5,5,3,1,2,5,2,3
Estándar,104.26,Online,6,Sí,Otro,Brasil,3,1,3,2,5,1,5,2
Suite,127.15,Online,4,No,Otro,España,2,2,1,3,3,2,4,2
Premium,169.17,Online,3,No,Vacaciones,Alemania,1,1,2,1,1,3,1,1
Premium,144.12,Transferencia,3,No,Evento,Alemania,1,4,3,3,4,1,3,2
Suite,85.98,Transferencia,2,Sí,Evento,EEUU,5,3,5,2,3,5,5,4
Suite,219.41,Tarjeta,3,No,Vacaciones,Brasil,4,3,1,1,1,2,4,3
Suite,130.59,Efectivo,1,No,Vacaciones,Argentina,5,3,5,2,3,3,1,3
Familiar,171.02,Efectivo,3,Sí,Evento,Argentina,3,2,5,5,5,5,4,4
Estándar,113.93,Online,9,Sí,Vacaciones,EEUU,5,5,5,5,4,3,3,4
Suite,141.33,Efectivo,4,No,Negocios,España,3,3,1,4,3,2,1,3
Suite,153.58,Online,3,No,Vacaciones,EEUU,4,5,4,1,4,3,5,4
Suite,168.73,Tarjeta,8,No,Vacaciones,Brasil,5,3,3,5,2,1,5,4
Premium,162.29,Efectivo,1,Sí,Vacaciones,Brasil,1,4,5,4,2,1,5,3
Premium,154.89,Efectivo,5,No,Vacaciones,Colombia,3,3,1,1,5,2,5,4
Familiar,107.4,Online,1,No,Evento,España,3,5,4,2,5,5,1,4
Estándar,97.13,Tarjeta,7,No,Otro,Brasil,1,2,1,3,2,4,3,3
