Nombres,nivel_satisfaccion,ultima_evaluacion,numero_proyectos,prom_horas_mes,tiempo_empresa,"accidente_trabajo (0 No, 1 Si)","promocion_ultimos_5 (0 Si, 1 No)","salario (0 Bajo, 1 Medio, 2 2)","renuncio (1 Si, 0 No)"
Empleado 476,0.45,0.57,2,134,3,0,0,0,1
Empleado 477,0.11,0.87,5,271,4,0,0,0,1
Empleado 478,0.09,0.79,6,275,4,0,0,0,1
Empleado 479,0.76,0.83,5,227,5,0,0,0,1
Empleado 480,0.11,0.96,7,277,5,0,0,0,1
Empleado 481,0.37,0.49,2,151,3,0,0,0,1
Empleado 482,0.1,0.79,6,274,4,0,0,0,1
Empleado 483,0.77,0.87,4,242,6,0,0,0,1
Empleado 484,0.42,0.54,2,143,3,1,0,0,1
Empleado 485,0.38,0.52,2,145,3,0,0,0,1
Empleado 486,0.32,0.95,5,172,2,0,0,0,1
Empleado 487,0.38,0.49,2,135,3,0,0,0,1
Empleado 488,0.19,1,4,192,4,0,0,0,1
Empleado 489,0.1,0.83,7,276,4,0,0,0,1
Empleado 490,0.76,0.88,4,206,4,0,0,1,1
Empleado 491,0.53,0.56,4,281,6,0,0,1,1
Empleado 492,0.39,0.51,2,151,3,0,0,1,1
Empleado 493,0.11,0.83,6,244,4,0,0,1,1
Empleado 494,0.1,0.94,6,309,4,0,0,1,1
Empleado 495,0.84,1,5,218,5,0,0,1,1
Empleado 496,0.82,0.99,4,263,6,0,0,1,1
Empleado 497,0.1,0.82,6,244,4,0,0,1,1
Empleado 498,0.59,0.49,7,263,4,0,0,1,1
Empleado 499,0.44,0.48,2,143,3,0,0,1,1
Empleado 500,0.89,0.95,2,181,5,0,0,1,1
Empleado 501,0.91,0.84,5,265,5,0,0,1,1
Empleado 502,0.66,0.57,5,161,5,0,0,2,1
Empleado 503,0.11,0.87,7,282,5,0,0,0,1
Empleado 504,0.43,0.51,2,155,3,0,0,1,1
Empleado 505,0.78,0.83,4,217,6,0,0,1,1
Empleado 506,0.11,0.97,6,289,5,0,0,1,1
Empleado 507,0.83,0.98,4,259,5,0,0,1,1
Empleado 508,0.39,0.54,2,158,3,0,0,0,1
Empleado 509,0.38,0.55,2,158,3,0,0,0,1
Empleado 510,0.37,0.57,2,155,3,0,0,0,1
Empleado 511,0.44,0.48,2,146,3,0,0,0,1
Empleado 512,0.53,0.85,2,164,5,0,0,0,1
Empleado 513,0.09,0.96,6,259,4,0,0,0,1
Empleado 514,0.11,0.89,6,293,4,0,0,0,1
Empleado 515,0.83,0.96,5,275,5,0,0,0,1
Empleado 516,0.88,1,5,219,6,1,0,0,1
Empleado 517,0.1,0.89,6,247,4,0,0,0,1
Empleado 518,0.09,0.86,7,309,4,0,0,0,1
Empleado 519,0.44,0.54,2,151,3,0,0,0,1
Empleado 520,0.39,0.51,2,129,3,0,0,0,1
Empleado 521,0.87,0.94,4,274,5,0,0,0,1
Empleado 522,0.74,0.99,4,233,5,0,0,0,1
Empleado 523,0.1,0.95,7,289,4,0,0,0,1
Empleado 524,0.74,0.82,4,239,6,0,0,0,1
Empleado 525,0.75,0.99,5,221,5,0,0,0,1
Empleado 526,0.41,0.56,2,150,3,0,0,0,1
Empleado 527,0.41,0.45,2,144,3,1,0,0,1
Empleado 528,0.09,0.9,7,289,4,0,0,0,1
Empleado 529,0.09,0.8,6,301,5,0,0,1,1
Empleado 530,0.39,0.57,2,145,3,0,0,1,1
Empleado 531,0.4,0.56,2,137,3,0,0,1,1
Empleado 532,0.37,0.54,2,131,3,1,0,1,1
Empleado 533,0.1,0.84,6,246,4,0,0,1,1
Empleado 534,0.43,0.51,2,136,3,0,0,1,1
Empleado 535,0.75,0.85,5,240,6,1,0,1,1
Empleado 536,0.37,0.56,2,156,3,0,0,1,1
Empleado 537,0.11,0.85,6,305,4,0,0,1,1
Empleado 538,0.45,0.45,2,154,3,1,0,1,1
Empleado 539,0.87,1,5,261,5,1,0,1,1
Empleado 540,0.11,0.94,7,244,4,0,0,1,1
Empleado 541,0.45,0.54,2,129,3,0,0,2,1
Empleado 542,0.81,0.87,4,254,5,0,0,0,1
Empleado 543,0.77,0.91,5,236,5,0,0,1,1
Empleado 544,0.89,0.92,5,237,5,0,0,1,1
Empleado 545,0.43,0.49,2,135,3,0,0,1,1
Empleado 546,0.78,1,5,236,5,0,0,1,1
Empleado 547,0.37,0.47,2,149,3,0,0,0,1
Empleado 548,0.37,0.5,2,141,3,0,0,0,1
Empleado 549,0.85,0.82,4,270,5,0,0,0,1
Empleado 550,0.41,0.47,2,138,3,0,0,0,1
Empleado 551,0.11,0.96,6,298,4,0,0,0,1
Empleado 552,0.75,0.99,5,254,5,0,0,0,1
Empleado 553,0.82,0.85,5,248,5,0,0,0,1
Empleado 554,0.79,1,5,257,6,0,0,0,1
Empleado 555,0.43,0.53,2,150,3,0,0,0,1
Empleado 556,0.1,0.9,7,281,4,0,0,0,1
Empleado 557,0.46,0.48,2,141,3,1,0,0,1
Empleado 558,0.43,0.57,2,157,3,0,0,0,1
Empleado 559,0.43,0.55,2,136,3,0,0,0,1
Empleado 560,0.11,0.8,7,296,4,0,0,0,1
Empleado 561,0.09,0.86,6,279,4,0,0,0,1
Empleado 562,0.37,0.53,2,131,3,0,0,0,1
Empleado 563,0.4,0.57,2,160,3,0,0,0,1
Empleado 564,0.1,0.77,7,291,4,0,0,0,1
Empleado 565,0.41,0.53,2,157,3,0,0,0,1
Empleado 566,0.79,0.58,3,294,4,0,0,0,1
Empleado 567,0.11,0.79,7,310,4,0,0,0,1
Empleado 568,0.1,0.97,6,282,4,0,0,1,1
Empleado 569,0.44,0.51,2,134,3,0,0,1,1
Empleado 570,0.25,0.46,4,214,4,0,0,1,1
Empleado 571,0.44,0.52,2,137,3,0,0,1,1
Empleado 572,0.73,1,4,252,5,0,0,1,1
Empleado 573,0.75,0.97,5,243,6,0,0,1,1
Empleado 574,0.36,0.47,2,148,3,0,0,1,1
Empleado 575,0.37,0.49,2,151,3,0,0,1,1
Empleado 576,0.39,0.49,2,129,3,0,0,1,1
Empleado 577,0.48,0.78,2,198,2,0,0,1,1
Empleado 578,0.57,0.72,4,275,6,0,0,1,1
Empleado 579,0.9,0.96,5,243,5,0,0,1,1
Empleado 580,0.39,0.55,2,159,3,0,0,2,1
Empleado 581,0.44,0.51,2,145,3,0,0,0,1
Empleado 582,0.81,0.88,5,242,5,0,0,1,1
Empleado 583,0.74,0.87,5,242,5,0,0,1,1
Empleado 584,0.44,0.56,2,145,3,0,0,1,1
Empleado 585,0.41,0.56,2,154,3,0,1,1,1
Empleado 586,0.4,0.51,2,139,3,0,0,0,1
Empleado 587,0.46,0.57,2,152,3,0,0,0,1
Empleado 588,0.8,0.83,2,211,3,0,0,0,1
Empleado 589,0.87,0.9,5,258,5,0,0,0,1
Empleado 590,0.39,0.54,2,155,3,0,0,0,1
Empleado 591,0.38,0.55,2,148,3,0,0,0,1
Empleado 592,0.66,0.67,2,255,3,0,0,0,1
Empleado 593,0.1,0.8,6,264,4,0,0,0,1
Empleado 594,0.37,0.54,2,132,3,0,0,0,1
Empleado 595,0.1,0.77,6,255,4,0,0,0,1
Empleado 596,0.09,0.87,5,263,4,0,0,0,1
Empleado 597,0.86,0.84,5,222,5,0,0,0,1
Empleado 598,0.11,0.9,6,263,4,0,0,0,1
Empleado 599,0.37,0.46,2,157,3,0,0,0,1
Empleado 600,0.11,0.92,7,307,4,0,0,0,1
Empleado 601,0.77,0.98,5,259,6,0,0,0,1
Empleado 602,0.84,0.94,5,222,6,0,0,0,1
Empleado 603,0.1,0.84,7,250,4,0,0,0,1
Empleado 604,0.83,0.9,5,245,5,0,0,0,1
Empleado 605,0.11,0.79,6,292,4,0,0,0,1
Empleado 606,0.86,0.92,5,252,5,0,0,0,1
Empleado 607,0.38,0.56,2,161,3,0,0,1,1
Empleado 608,0.11,0.88,5,250,4,0,0,1,1
Empleado 609,0.45,0.49,2,134,3,0,0,1,1
Empleado 610,0.1,0.85,7,279,4,0,0,1,1
Empleado 611,0.09,0.95,7,256,4,0,0,1,1
Empleado 612,0.39,0.53,2,127,3,0,0,1,1
Empleado 613,0.37,0.47,2,138,3,1,0,1,1
Empleado 614,0.81,0.97,5,243,5,0,0,1,1
Empleado 615,0.09,0.9,7,296,4,0,0,1,1
Empleado 616,0.1,0.88,7,267,4,0,0,1,1
Empleado 617,0.39,0.49,2,144,3,0,0,1,1
Empleado 618,0.83,0.95,4,251,5,0,0,1,1
Empleado 619,0.45,0.57,2,148,3,0,0,2,1
Empleado 620,0.43,0.51,2,141,3,0,0,0,1
Empleado 621,0.8,0.75,3,268,2,0,0,1,1
Empleado 622,0.1,0.86,6,247,4,0,0,1,1
Empleado 623,0.1,0.55,2,247,4,0,0,1,1
Empleado 624,0.36,0.52,2,146,3,0,0,1,1
Empleado 625,0.38,0.5,2,140,3,0,0,0,1
Empleado 626,0.78,0.98,5,263,6,0,0,0,1
Empleado 627,0.44,0.49,2,145,3,0,0,0,1
Empleado 628,0.41,0.46,2,156,3,1,0,0,1
Empleado 629,0.72,0.85,5,244,6,0,0,0,1
Empleado 630,0.46,0.54,2,144,3,0,0,0,1
Empleado 631,0.1,0.9,7,286,4,0,0,0,1
Empleado 632,0.34,0.67,4,141,2,0,0,0,1
Empleado 633,0.11,0.89,6,260,5,0,0,0,1
Empleado 634,0.38,0.56,2,154,3,0,0,0,1
Empleado 635,0.82,0.92,5,225,5,0,0,0,1
Empleado 636,0.39,0.57,2,127,3,0,0,0,1
Empleado 637,0.44,0.53,2,140,3,0,0,0,1
Empleado 638,0.43,0.52,2,147,3,0,0,0,1
Empleado 639,0.84,0.83,4,227,5,0,0,0,1
Empleado 640,0.43,0.48,2,153,3,0,0,0,1
Empleado 641,0.37,0.52,2,128,3,0,0,0,1
Empleado 642,0.74,0.97,4,228,5,0,0,0,1
Empleado 643,0.73,0.97,5,235,5,0,0,0,1
Empleado 644,0.37,0.47,2,148,3,0,0,0,1
Empleado 645,0.58,0.62,4,238,3,0,0,0,1
Empleado 646,0.4,0.54,2,141,3,0,0,1,1
Empleado 647,0.51,0.83,5,249,4,0,0,1,1
Empleado 648,0.46,0.5,2,151,3,0,0,1,1
Empleado 649,0.45,0.54,2,129,3,0,0,1,1
Empleado 650,0.46,0.5,2,156,3,0,0,1,1
Empleado 651,0.39,0.45,2,134,3,0,0,1,1
Empleado 652,0.09,0.88,6,269,4,0,0,1,1
Empleado 653,0.09,0.77,6,290,4,0,0,1,1
Empleado 654,0.37,0.51,2,132,3,0,0,1,1
Empleado 655,0.1,0.89,7,308,4,0,0,1,1
Empleado 656,0.77,1,4,232,5,0,0,1,1
Empleado 657,0.79,0.86,5,235,5,0,0,1,1
Empleado 658,0.43,0.55,2,130,3,0,0,2,1
Empleado 659,0.38,0.53,2,146,3,0,0,0,1
Empleado 660,0.77,0.91,5,221,6,0,0,1,1
Empleado 661,0.44,0.5,2,130,3,0,0,1,1
Empleado 662,0.39,0.46,2,136,3,0,0,1,1
Empleado 663,0.78,0.89,5,274,6,0,0,1,1
Empleado 664,0.1,0.79,6,256,5,0,0,0,1
Empleado 665,0.1,0.77,5,276,4,0,0,0,1
Empleado 666,0.75,0.85,5,267,5,0,0,0,1
Empleado 667,0.46,0.62,6,213,3,0,0,0,1
Empleado 668,0.91,0.97,4,274,6,0,0,0,1
Empleado 669,0.1,0.92,6,258,4,0,0,0,1
Empleado 670,0.72,0.6,3,153,5,0,0,0,1
Empleado 671,0.11,0.95,6,245,4,0,0,0,1
Empleado 672,0.11,0.94,6,264,4,0,0,0,1
Empleado 673,0.46,0.57,2,154,3,0,0,0,1
Empleado 674,0.37,0.46,2,149,3,0,0,0,1
Empleado 675,0.46,0.5,2,157,3,0,0,0,1
Empleado 676,0.43,0.57,2,127,3,0,0,0,1
Empleado 677,0.11,0.82,6,270,4,0,0,0,1
Empleado 678,0.73,0.89,5,236,6,0,0,0,1
Empleado 679,0.43,0.47,2,158,3,0,0,0,1
Empleado 680,0.86,1,5,229,5,0,0,0,1
Empleado 681,0.1,0.83,6,269,4,0,0,0,1
Empleado 682,0.4,0.49,2,128,3,0,0,0,1
Empleado 683,0.11,0.87,7,278,4,0,0,0,1
Empleado 684,0.86,0.98,3,158,5,0,0,0,1
Empleado 685,0.42,1,3,202,3,0,0,1,1
Empleado 686,0.79,0.84,4,240,5,0,0,1,1
Empleado 687,0.1,0.96,7,255,4,0,0,1,1
Empleado 688,0.09,0.92,7,254,4,0,0,1,1
Empleado 689,0.09,0.82,6,257,4,0,0,1,1
Empleado 690,0.87,1,4,228,5,0,0,1,1
Empleado 691,0.36,0.49,2,145,3,0,0,1,1
Empleado 692,0.42,0.75,3,218,4,0,0,1,1
Empleado 693,0.84,0.86,5,268,5,0,0,1,1
Empleado 694,0.1,0.83,6,278,4,0,0,1,1
Empleado 695,0.78,0.71,3,249,5,0,0,1,1
Empleado 696,0.35,0.99,3,236,4,0,0,1,1
Empleado 697,0.1,0.81,7,291,4,0,0,2,1
Empleado 698,0.11,0.8,6,306,4,0,0,0,1
Empleado 699,0.43,0.48,2,135,3,0,0,1,1
Empleado 700,0.38,0.45,2,156,3,0,0,1,1
Empleado 701,0.46,0.54,2,143,3,0,0,1,1
Empleado 702,0.89,0.82,4,243,5,0,0,1,1
Empleado 703,0.45,0.5,2,147,3,0,0,0,1
Empleado 704,0.44,0.53,2,159,3,0,0,0,1
Empleado 705,0.74,0.54,5,216,3,0,0,0,1
Empleado 706,0.45,0.54,2,152,3,0,0,0,1
Empleado 707,0.79,0.93,4,226,5,0,0,0,1
Empleado 708,0.79,0.91,5,271,5,0,0,0,1
Empleado 709,0.11,0.87,6,255,4,0,0,0,1
Empleado 710,0.42,0.48,2,140,3,0,0,0,1
Empleado 711,0.64,0.9,6,252,2,0,0,0,1
Empleado 712,0.4,0.55,2,159,3,0,0,0,1
Empleado 713,0.84,0.98,5,270,5,0,0,0,1
Empleado 714,0.73,0.92,5,232,5,0,0,0,1
Empleado 715,0.4,0.51,2,144,3,0,0,0,1
Empleado 716,0.36,0.45,2,127,3,0,0,0,1
Empleado 717,0.43,0.47,2,131,3,0,0,0,1
Empleado 718,0.11,0.78,6,243,4,0,0,0,1
Empleado 719,0.91,1,5,244,6,0,0,0,1
Empleado 720,0.8,1,5,260,5,0,0,0,1
Empleado 721,0.42,0.49,2,139,3,0,0,0,1
Empleado 722,0.31,0.87,4,184,3,0,0,0,1
Empleado 723,0.44,0.47,2,130,3,0,0,0,1
Empleado 724,0.38,0.54,2,135,3,0,0,1,1
Empleado 725,0.45,0.56,2,146,3,0,0,1,1
Empleado 726,0.43,0.46,2,149,3,0,0,1,1
Empleado 727,0.45,0.46,2,153,3,1,0,1,1
Empleado 728,0.43,0.57,2,160,3,0,0,1,1
Empleado 729,0.43,0.49,2,160,3,0,0,1,1
Empleado 730,0.09,0.83,6,282,4,0,0,1,1
Empleado 731,0.43,0.47,2,128,3,0,0,1,1
Empleado 732,0.79,0.94,4,232,5,0,0,1,1
Empleado 733,0.85,0.58,3,226,2,0,0,1,1
Empleado 734,0.38,0.45,2,129,3,0,0,1,1
Empleado 735,0.11,0.92,7,255,4,0,0,1,1
Empleado 736,0.83,0.99,5,258,5,0,0,2,1
Empleado 737,0.81,0.91,4,229,5,0,0,0,1
Empleado 738,0.42,0.56,2,143,3,0,0,1,1
Empleado 739,0.11,0.87,6,257,4,0,0,1,1
Empleado 740,0.11,0.85,7,275,4,0,0,1,1
Empleado 741,0.1,0.89,7,291,4,0,0,1,1
Empleado 742,0.5,0.54,5,153,4,0,0,0,1
Empleado 743,0.44,0.49,2,154,3,0,0,0,1
Empleado 744,0.11,0.9,6,301,4,0,0,0,1
Empleado 745,0.39,0.52,2,134,3,0,0,0,1
Empleado 746,0.11,0.78,6,245,4,0,0,0,1
Empleado 747,0.36,0.5,2,132,3,0,0,0,1
Empleado 748,0.43,0.51,2,130,3,0,0,0,1
Empleado 749,0.4,0.5,2,127,3,0,0,0,1
Empleado 750,0.86,0.84,4,246,6,0,0,0,1
Empleado 751,0.38,0.49,2,145,3,0,0,0,1
Empleado 752,0.46,0.45,2,138,3,0,1,0,1
Empleado 753,0.37,0.57,2,129,3,0,0,0,1
Empleado 754,0.43,0.52,2,150,3,0,0,0,1
Empleado 755,0.66,0.93,5,253,5,0,0,0,1
Empleado 756,0.37,0.48,2,160,3,0,0,0,1
Empleado 757,0.77,0.92,5,235,5,0,0,0,1
Empleado 758,0.38,0.55,2,151,3,0,0,0,1
Empleado 759,0.39,0.54,2,127,3,0,0,0,1
Empleado 760,0.41,0.55,2,151,3,0,0,0,1
Empleado 761,0.1,0.9,7,290,4,0,0,0,1
Empleado 762,0.09,0.93,6,249,4,0,0,0,1
Empleado 763,0.41,0.47,2,131,3,0,0,1,1
Empleado 764,0.39,0.46,2,159,3,0,0,1,1
Empleado 765,0.83,0.99,4,223,5,0,0,1,1
Empleado 766,0.09,0.87,3,214,2,0,0,1,1
Empleado 767,0.75,0.81,5,227,5,0,0,1,1
Empleado 768,0.44,0.54,2,127,3,0,0,1,1
Empleado 769,0.1,0.84,6,293,5,0,0,1,1
Empleado 770,0.42,0.46,2,141,3,0,0,1,1
Empleado 771,0.1,0.83,6,300,4,0,0,1,1
Empleado 772,0.1,0.86,6,309,4,0,0,1,1
Empleado 773,0.31,0.77,4,149,3,0,0,1,1
Empleado 774,0.42,0.54,2,159,3,0,0,1,1
Empleado 775,0.38,0.5,2,152,3,0,0,2,1
Empleado 776,0.39,0.57,2,158,3,0,0,0,1
Empleado 777,0.1,0.97,6,254,5,0,0,1,1
Empleado 778,0.11,0.93,6,294,4,0,0,1,1
Empleado 779,0.1,0.92,7,269,4,0,0,1,1
Empleado 780,0.11,0.9,7,247,4,0,0,1,1
Empleado 781,0.44,0.65,3,271,4,0,0,0,1
Empleado 782,0.91,0.96,4,232,5,0,0,0,1
Empleado 783,0.72,1,4,245,5,0,0,0,1
Empleado 784,0.36,0.46,2,132,3,0,0,0,1
Empleado 785,0.44,0.57,2,131,3,0,0,0,1
Empleado 786,0.85,0.99,5,248,5,0,0,0,1
Empleado 787,0.78,0.93,5,225,5,0,0,0,1
Empleado 788,0.39,0.46,2,156,3,0,0,0,1
Empleado 789,0.78,0.81,3,222,2,0,0,0,1
Empleado 790,0.1,0.92,6,243,4,1,0,0,1
Empleado 791,0.23,0.99,4,204,4,1,0,0,1
Empleado 792,0.11,0.87,6,301,4,0,0,0,1
Empleado 793,0.9,0.83,5,259,5,0,0,0,1
Empleado 794,0.91,0.89,4,247,5,0,0,0,1
Empleado 795,0.11,0.79,7,295,4,0,0,0,1
Empleado 796,0.43,0.54,2,150,3,0,0,0,1
Empleado 797,0.45,0.49,2,151,3,0,0,0,1
Empleado 798,0.11,0.91,5,291,4,0,0,0,1
Empleado 799,0.11,0.93,6,253,4,1,0,0,1
Empleado 800,0.43,0.5,2,161,3,0,0,0,1
Empleado 801,0.91,0.97,4,251,6,0,0,0,1
Empleado 802,0.43,0.55,2,153,3,0,0,1,1
Empleado 803,0.85,0.82,5,264,6,0,0,1,1
Empleado 804,0.1,0.77,6,310,4,0,0,1,1
Empleado 805,0.81,0.95,5,266,5,0,0,1,1
Empleado 806,0.36,0.62,4,237,2,0,0,1,1
Empleado 807,0.45,0.54,2,138,3,0,0,1,1
Empleado 808,0.86,1,5,227,5,0,0,1,1
Empleado 809,0.71,1,4,300,5,0,0,1,1
Empleado 810,0.11,0.97,7,310,4,0,0,1,1
Empleado 811,0.84,0.93,5,236,5,0,0,1,1
Empleado 812,0.09,0.97,7,288,4,0,0,1,1
Empleado 813,0.38,0.49,2,127,3,0,0,1,1
Empleado 814,0.15,0.55,6,139,4,0,0,2,1
Empleado 815,0.1,0.92,7,253,4,1,0,0,1
Empleado 816,0.8,0.97,4,218,5,1,0,1,1
Empleado 817,0.84,0.97,5,251,5,0,0,1,1
Empleado 818,0.11,0.87,6,264,4,0,0,1,1
Empleado 819,0.89,0.79,3,149,2,0,0,1,1
Empleado 820,0.45,0.51,2,138,3,0,0,0,1
Empleado 821,0.11,0.93,7,284,4,0,0,0,1
Empleado 822,0.74,0.93,5,244,5,0,0,0,1
Empleado 823,0.41,0.5,2,128,3,0,0,0,1
Empleado 824,0.44,0.53,2,154,3,0,0,0,1
Empleado 825,0.37,0.56,2,138,3,0,0,0,1
Empleado 826,0.11,0.86,6,308,4,0,0,0,1
Empleado 827,0.1,0.93,6,269,4,0,0,0,1
Empleado 828,0.7,0.74,6,136,3,0,0,0,1
Empleado 829,0.59,1,2,160,5,0,0,0,1
Empleado 830,0.38,0.53,2,138,3,0,0,0,1
Empleado 831,0.72,0.95,4,220,5,0,0,0,1
Empleado 832,0.73,1,5,274,5,0,0,0,1
Empleado 833,0.39,0.48,2,161,3,0,0,0,1
Empleado 834,0.89,0.82,5,224,6,0,0,0,1
Empleado 835,0.89,1,4,260,5,0,0,0,1
Empleado 836,0.11,0.78,6,300,4,1,0,0,1
Empleado 837,0.43,0.56,2,133,3,0,0,0,1
Empleado 838,0.09,0.93,6,308,4,0,0,0,1
Empleado 839,0.81,0.9,5,238,6,0,0,0,1
Empleado 840,0.37,0.53,2,126,3,0,0,0,1
Empleado 841,0.36,0.56,2,138,3,0,0,1,1
Empleado 842,0.11,0.85,6,299,4,0,0,1,1
Empleado 843,0.1,0.85,6,254,4,0,0,1,1
Empleado 844,0.66,0.47,7,156,2,0,0,1,1
Empleado 845,0.39,0.47,2,152,3,0,0,1,1
Empleado 846,0.44,0.51,2,146,3,0,0,1,1
Empleado 847,0.1,0.84,6,253,4,0,0,1,1
Empleado 848,0.79,0.94,5,227,6,0,0,1,1
Empleado 849,0.1,0.81,6,301,4,1,0,1,1
Empleado 850,0.54,0.94,6,294,3,0,0,1,1
Empleado 851,0.37,0.47,2,151,3,0,0,1,1
Empleado 852,0.37,0.57,2,128,3,0,0,1,1
Empleado 853,0.82,0.89,5,217,5,0,0,2,1
Empleado 854,0.45,0.52,2,160,3,0,0,0,1
Empleado 855,0.79,0.9,5,263,5,0,0,1,1
Empleado 856,0.42,0.56,2,156,3,0,0,1,1
Empleado 857,0.1,0.85,6,273,4,0,0,1,1
Empleado 858,0.11,0.78,6,303,4,0,0,1,1
Empleado 859,0.74,1,4,253,5,0,0,0,1
Empleado 860,0.1,0.93,6,270,4,0,0,0,1
Empleado 861,0.79,1,4,218,5,0,0,0,1
Empleado 862,0.43,0.48,2,144,3,0,0,0,1
Empleado 863,0.41,0.47,2,154,3,0,0,0,1
Empleado 864,0.39,0.55,2,146,3,0,0,0,1
Empleado 865,0.1,0.94,6,260,4,0,0,0,1
Empleado 866,0.82,0.85,5,218,5,0,0,0,1
Empleado 867,0.41,0.46,2,128,3,0,0,0,1
Empleado 868,0.42,0.56,2,128,3,0,0,0,1
Empleado 869,0.74,0.88,4,248,6,0,0,0,1
Empleado 870,0.38,0.57,2,152,3,1,0,0,1
Empleado 871,0.39,0.56,2,126,3,0,0,0,1
Empleado 872,0.87,0.94,4,260,5,0,0,0,1
Empleado 873,0.1,0.9,5,263,4,0,0,0,1
Empleado 874,0.78,1,5,220,5,0,0,0,1
Empleado 875,0.14,0.73,7,282,5,0,0,0,1
Empleado 876,0.11,0.94,6,277,5,0,0,0,1
Empleado 877,0.91,0.94,5,257,5,0,0,0,1
Empleado 878,0.49,0.63,6,265,3,0,0,0,1
Empleado 879,0.38,0.47,2,143,3,0,0,0,1
Empleado 880,0.82,0.97,5,263,5,0,0,1,1
Empleado 881,0.38,0.88,3,154,4,0,0,1,1
Empleado 882,0.89,1,5,253,5,0,0,1,1
Empleado 883,0.11,0.79,6,294,4,0,0,1,1
Empleado 884,0.37,0.51,2,128,3,0,0,1,1
Empleado 885,0.38,0.5,2,153,3,0,0,1,1
Empleado 886,0.78,0.87,5,256,5,0,0,1,1
Empleado 887,0.41,0.51,2,127,3,0,0,1,1
Empleado 888,0.41,0.51,2,137,3,0,0,1,1
Empleado 889,0.11,0.83,6,295,4,0,0,1,1
Empleado 890,0.11,0.79,6,281,4,0,0,1,1
Empleado 891,0.43,0.57,2,131,3,1,0,1,1
Empleado 892,0.75,0.86,5,237,5,0,0,2,1
Empleado 893,0.74,0.99,4,276,5,0,0,0,1
Empleado 894,0.85,0.85,5,267,5,0,0,1,1
Empleado 895,0.73,0.92,5,266,5,0,0,1,1
Empleado 896,0.1,0.79,6,294,4,0,0,1,1
Empleado 897,0.44,0.56,2,134,3,0,0,1,1
Empleado 898,0.3,0.56,3,309,4,1,0,0,1
Empleado 899,0.11,0.77,7,273,4,0,0,0,1
Empleado 900,0.84,0.83,5,238,5,0,0,0,1
Empleado 901,0.78,0.94,5,271,6,0,0,0,1
Empleado 902,0.43,0.53,2,145,3,0,0,0,1
Empleado 903,0.36,0.55,2,152,3,0,0,0,1
Empleado 904,0.43,0.47,2,128,3,0,0,0,1
Empleado 905,0.45,0.46,2,142,3,0,0,0,1
Empleado 906,0.76,0.93,5,238,5,0,0,0,1
Empleado 907,0.1,0.78,7,286,4,0,0,0,1
Empleado 908,0.09,0.86,6,291,4,0,0,0,1
Empleado 909,0.92,1,5,259,5,0,0,0,1
Empleado 910,0.92,0.9,5,248,5,0,0,0,1
Empleado 911,0.79,0.98,4,271,5,0,0,0,1
Empleado 912,0.43,0.51,2,140,3,0,0,0,1
Empleado 913,0.8,0.95,4,274,5,0,0,0,1
Empleado 914,0.44,0.49,2,127,3,1,0,0,1
Empleado 915,0.89,0.87,5,275,6,0,0,0,1
Empleado 916,0.48,0.88,3,239,3,0,0,0,1
Empleado 917,0.11,0.82,6,304,4,1,0,0,1
Empleado 918,0.38,0.55,2,145,3,0,0,0,1
Empleado 919,0.11,0.85,6,259,4,0,0,1,1
Empleado 920,0.82,0.86,4,264,5,0,0,1,1
Empleado 921,0.37,0.45,2,160,3,0,0,1,1
Empleado 922,0.4,0.48,2,138,3,0,0,1,1
Empleado 923,0.43,0.47,2,137,3,0,0,1,1
Empleado 924,0.44,0.5,2,156,3,0,0,1,1
Empleado 925,0.42,0.56,2,147,3,0,0,1,1
Empleado 926,0.11,0.8,7,243,4,0,0,1,1
Empleado 927,0.78,0.87,4,236,5,0,0,1,1
Empleado 928,0.46,0.86,2,212,4,0,0,1,1
Empleado 929,0.77,0.91,5,261,6,0,0,1,1
Empleado 930,0.83,0.82,4,243,5,0,0,1,1
Empleado 931,0.32,0.58,5,271,5,0,0,2,1
Empleado 932,0.9,0.92,5,154,4,0,0,0,1
Empleado 933,0.42,0.52,2,151,3,0,0,1,1
Empleado 934,0.1,0.96,6,254,4,1,0,1,1
Empleado 935,0.1,0.91,6,285,4,0,0,1,1
Empleado 936,0.44,0.49,2,130,3,0,0,1,1
Empleado 937,0.1,0.95,7,301,4,0,0,0,1
Empleado 938,0.11,0.8,6,286,4,0,0,0,1
Empleado 939,0.1,0.89,6,246,4,0,0,0,1
Empleado 940,0.39,0.47,2,135,3,0,0,0,1
Empleado 941,0.92,0.92,4,245,5,0,0,0,1
Empleado 942,0.43,0.56,2,136,3,0,0,0,1
Empleado 943,0.11,0.89,6,301,4,0,0,0,1
Empleado 944,0.81,1,5,235,5,0,0,0,1
Empleado 945,0.11,0.85,7,272,4,0,0,0,1
Empleado 946,0.87,1,5,274,5,0,0,0,1
Empleado 947,0.37,0.46,2,131,3,0,0,0,1
Empleado 948,0.39,0.56,2,135,3,0,0,0,1
Empleado 949,0.61,0.86,4,196,4,0,0,0,1
Empleado 950,0.11,0.95,6,285,4,0,0,0,1
Empleado 951,0.09,0.9,7,289,5,0,0,0,1
Empleado 952,0.36,0.52,2,157,3,0,0,0,1
Empleado 953,0.09,0.94,6,308,4,0,0,0,1
Empleado 954,0.41,0.71,4,301,5,0,0,0,1
