Nombres,nivel_satisfaccion,ultima_evaluacion,numero_proyectos,tiempo_empresa,"accidente_trabajo (0 No, 1 Si)","promocion_ultimos_5 (0 Si, 1 No)","salario (0 Bajo, 1 Medio, 2 2)",prom_horas_mes
Empleado 512,0.53,0.85,2,5,0,0,0,164
Empleado 513,0.09,0.96,6,4,0,0,0,259
Empleado 514,0.11,0.89,6,4,0,0,0,293
Empleado 515,0.83,0.96,5,5,0,0,0,275
Empleado 516,0.88,1,5,6,1,0,0,219
Empleado 517,0.1,0.89,6,4,0,0,0,247
Empleado 518,0.09,0.86,7,4,0,0,0,309
Empleado 519,0.44,0.54,2,3,0,0,0,151
Empleado 520,0.39,0.51,2,3,0,0,0,129
Empleado 521,0.87,0.94,4,5,0,0,0,274
Empleado 522,0.74,0.99,4,5,0,0,0,233
Empleado 523,0.1,0.95,7,4,0,0,0,289
Empleado 524,0.74,0.82,4,6,0,0,0,239
Empleado 525,0.75,0.99,5,5,0,0,0,221
Empleado 526,0.41,0.56,2,3,0,0,0,150
Empleado 527,0.41,0.45,2,3,1,0,0,144
Empleado 528,0.09,0.9,7,4,0,0,0,289
Empleado 529,0.09,0.8,6,5,0,0,1,301
Empleado 530,0.39,0.57,2,3,0,0,1,145
Empleado 531,0.4,0.56,2,3,0,0,1,137
Empleado 532,0.37,0.54,2,3,1,0,1,131
Empleado 533,0.1,0.84,6,4,0,0,1,246
Empleado 534,0.43,0.51,2,3,0,0,1,136
Empleado 535,0.75,0.85,5,6,1,0,1,240
Empleado 536,0.37,0.56,2,3,0,0,1,156
Empleado 537,0.11,0.85,6,4,0,0,1,305
Empleado 538,0.45,0.45,2,3,1,0,1,154
Empleado 539,0.87,1,5,5,1,0,1,261
Empleado 540,0.11,0.94,7,4,0,0,1,244
Empleado 541,0.45,0.54,2,3,0,0,2,129
Empleado 542,0.81,0.87,4,5,0,0,0,254
Empleado 543,0.77,0.91,5,5,0,0,1,236
Empleado 544,0.89,0.92,5,5,0,0,1,237
Empleado 545,0.43,0.49,2,3,0,0,1,135
Empleado 546,0.78,1,5,5,0,0,1,236
Empleado 547,0.37,0.47,2,3,0,0,0,149
Empleado 548,0.37,0.5,2,3,0,0,0,141
Empleado 549,0.85,0.82,4,5,0,0,0,270
Empleado 550,0.41,0.47,2,3,0,0,0,138
Empleado 551,0.11,0.96,6,4,0,0,0,298
Empleado 552,0.75,0.99,5,5,0,0,0,254
Empleado 553,0.82,0.85,5,5,0,0,0,248
Empleado 554,0.79,1,5,6,0,0,0,257
Empleado 555,0.43,0.53,2,3,0,0,0,150
Empleado 556,0.1,0.9,7,4,0,0,0,281
Empleado 557,0.46,0.48,2,3,1,0,0,141
Empleado 558,0.43,0.57,2,3,0,0,0,157
Empleado 559,0.43,0.55,2,3,0,0,0,136
Empleado 560,0.11,0.8,7,4,0,0,0,296
Empleado 561,0.09,0.86,6,4,0,0,0,279
Empleado 562,0.37,0.53,2,3,0,0,0,131
Empleado 563,0.4,0.57,2,3,0,0,0,160
Empleado 564,0.1,0.77,7,4,0,0,0,291
Empleado 565,0.41,0.53,2,3,0,0,0,157
Empleado 566,0.79,0.58,3,4,0,0,0,294
Empleado 567,0.11,0.79,7,4,0,0,0,310
Empleado 568,0.1,0.97,6,4,0,0,1,282
Empleado 569,0.44,0.51,2,3,0,0,1,134
Empleado 570,0.25,0.46,4,4,0,0,1,214
Empleado 571,0.44,0.52,2,3,0,0,1,137
Empleado 572,0.73,1,4,5,0,0,1,252
Empleado 573,0.75,0.97,5,6,0,0,1,243
Empleado 574,0.36,0.47,2,3,0,0,1,148
Empleado 575,0.37,0.49,2,3,0,0,1,151
Empleado 576,0.39,0.49,2,3,0,0,1,129
Empleado 577,0.48,0.78,2,2,0,0,1,198
Empleado 578,0.57,0.72,4,6,0,0,1,275
Empleado 579,0.9,0.96,5,5,0,0,1,243
Empleado 580,0.39,0.55,2,3,0,0,2,159
Empleado 581,0.44,0.51,2,3,0,0,0,145
Empleado 582,0.81,0.88,5,5,0,0,1,242
Empleado 583,0.74,0.87,5,5,0,0,1,242
Empleado 584,0.44,0.56,2,3,0,0,1,145
Empleado 585,0.41,0.56,2,3,0,1,1,154
Empleado 586,0.4,0.51,2,3,0,0,0,139
Empleado 587,0.46,0.57,2,3,0,0,0,152
Empleado 588,0.8,0.83,2,3,0,0,0,211
Empleado 589,0.87,0.9,5,5,0,0,0,258
Empleado 590,0.39,0.54,2,3,0,0,0,155
Empleado 591,0.38,0.55,2,3,0,0,0,148
Empleado 592,0.66,0.67,2,3,0,0,0,255
Empleado 593,0.1,0.8,6,4,0,0,0,264
Empleado 594,0.37,0.54,2,3,0,0,0,132
Empleado 595,0.1,0.77,6,4,0,0,0,255
Empleado 596,0.09,0.87,5,4,0,0,0,263
Empleado 597,0.86,0.84,5,5,0,0,0,222
Empleado 598,0.11,0.9,6,4,0,0,0,263
Empleado 599,0.37,0.46,2,3,0,0,0,157
Empleado 600,0.11,0.92,7,4,0,0,0,307
Empleado 601,0.77,0.98,5,6,0,0,0,259
Empleado 602,0.84,0.94,5,6,0,0,0,222
Empleado 603,0.1,0.84,7,4,0,0,0,250
Empleado 604,0.83,0.9,5,5,0,0,0,245
Empleado 605,0.11,0.79,6,4,0,0,0,292
Empleado 606,0.86,0.92,5,5,0,0,0,252
Empleado 607,0.38,0.56,2,3,0,0,1,161
Empleado 608,0.11,0.88,5,4,0,0,1,250
Empleado 609,0.45,0.49,2,3,0,0,1,134
Empleado 610,0.1,0.85,7,4,0,0,1,279
Empleado 611,0.09,0.95,7,4,0,0,1,256
Empleado 612,0.39,0.53,2,3,0,0,1,127
Empleado 613,0.37,0.47,2,3,1,0,1,138
Empleado 614,0.81,0.97,5,5,0,0,1,243
Empleado 615,0.09,0.9,7,4,0,0,1,296
Empleado 616,0.1,0.88,7,4,0,0,1,267
Empleado 617,0.39,0.49,2,3,0,0,1,144
Empleado 618,0.83,0.95,4,5,0,0,1,251
Empleado 619,0.45,0.57,2,3,0,0,2,148
Empleado 620,0.43,0.51,2,3,0,0,0,141
Empleado 621,0.8,0.75,3,2,0,0,1,268
Empleado 622,0.1,0.86,6,4,0,0,1,247
Empleado 623,0.1,0.55,2,4,0,0,1,247
Empleado 624,0.36,0.52,2,3,0,0,1,146
Empleado 625,0.38,0.5,2,3,0,0,0,140
Empleado 626,0.78,0.98,5,6,0,0,0,263
Empleado 627,0.44,0.49,2,3,0,0,0,145
Empleado 628,0.41,0.46,2,3,1,0,0,156
Empleado 629,0.72,0.85,5,6,0,0,0,244
Empleado 630,0.46,0.54,2,3,0,0,0,144
Empleado 631,0.1,0.9,7,4,0,0,0,286
Empleado 632,0.34,0.67,4,2,0,0,0,141
Empleado 633,0.11,0.89,6,5,0,0,0,260
Empleado 634,0.38,0.56,2,3,0,0,0,154
Empleado 635,0.82,0.92,5,5,0,0,0,225
Empleado 636,0.39,0.57,2,3,0,0,0,127
Empleado 637,0.44,0.53,2,3,0,0,0,140
Empleado 638,0.43,0.52,2,3,0,0,0,147
Empleado 639,0.84,0.83,4,5,0,0,0,227
Empleado 640,0.43,0.48,2,3,0,0,0,153
Empleado 641,0.37,0.52,2,3,0,0,0,128
Empleado 642,0.74,0.97,4,5,0,0,0,228
Empleado 643,0.73,0.97,5,5,0,0,0,235
Empleado 644,0.37,0.47,2,3,0,0,0,148
Empleado 645,0.58,0.62,4,3,0,0,0,238
Empleado 646,0.4,0.54,2,3,0,0,1,141
Empleado 647,0.51,0.83,5,4,0,0,1,249
Empleado 648,0.46,0.5,2,3,0,0,1,151
Empleado 649,0.45,0.54,2,3,0,0,1,129
Empleado 650,0.46,0.5,2,3,0,0,1,156
Empleado 651,0.39,0.45,2,3,0,0,1,134
Empleado 652,0.09,0.88,6,4,0,0,1,269
Empleado 653,0.09,0.77,6,4,0,0,1,290
Empleado 654,0.37,0.51,2,3,0,0,1,132
Empleado 655,0.1,0.89,7,4,0,0,1,308
Empleado 656,0.77,1,4,5,0,0,1,232
Empleado 657,0.79,0.86,5,5,0,0,1,235
Empleado 658,0.43,0.55,2,3,0,0,2,130
Empleado 659,0.38,0.53,2,3,0,0,0,146
Empleado 660,0.77,0.91,5,6,0,0,1,221
Empleado 661,0.44,0.5,2,3,0,0,1,130
Empleado 662,0.39,0.46,2,3,0,0,1,136
Empleado 663,0.78,0.89,5,6,0,0,1,274
Empleado 664,0.1,0.79,6,5,0,0,0,256
Empleado 665,0.1,0.77,5,4,0,0,0,276
Empleado 666,0.75,0.85,5,5,0,0,0,267
Empleado 667,0.46,0.62,6,3,0,0,0,213
Empleado 668,0.91,0.97,4,6,0,0,0,274
Empleado 669,0.1,0.92,6,4,0,0,0,258
Empleado 670,0.72,0.6,3,5,0,0,0,153
Empleado 671,0.11,0.95,6,4,0,0,0,245
Empleado 672,0.11,0.94,6,4,0,0,0,264
Empleado 673,0.46,0.57,2,3,0,0,0,154
Empleado 674,0.37,0.46,2,3,0,0,0,149
Empleado 675,0.46,0.5,2,3,0,0,0,157
Empleado 676,0.43,0.57,2,3,0,0,0,127
Empleado 677,0.11,0.82,6,4,0,0,0,270
Empleado 678,0.73,0.89,5,6,0,0,0,236
Empleado 679,0.43,0.47,2,3,0,0,0,158
Empleado 680,0.86,1,5,5,0,0,0,229
Empleado 681,0.1,0.83,6,4,0,0,0,269
Empleado 682,0.4,0.49,2,3,0,0,0,128
Empleado 683,0.11,0.87,7,4,0,0,0,278
Empleado 684,0.86,0.98,3,5,0,0,0,158
Empleado 685,0.42,1,3,3,0,0,1,202
Empleado 686,0.79,0.84,4,5,0,0,1,240
Empleado 687,0.1,0.96,7,4,0,0,1,255
Empleado 688,0.09,0.92,7,4,0,0,1,254
Empleado 689,0.09,0.82,6,4,0,0,1,257
Empleado 690,0.87,1,4,5,0,0,1,228
Empleado 691,0.36,0.49,2,3,0,0,1,145
Empleado 692,0.42,0.75,3,4,0,0,1,218
Empleado 693,0.84,0.86,5,5,0,0,1,268
Empleado 694,0.1,0.83,6,4,0,0,1,278
Empleado 695,0.78,0.71,3,5,0,0,1,249
Empleado 696,0.35,0.99,3,4,0,0,1,236
Empleado 697,0.1,0.81,7,4,0,0,2,291
Empleado 698,0.11,0.8,6,4,0,0,0,306
Empleado 699,0.43,0.48,2,3,0,0,1,135
Empleado 700,0.38,0.45,2,3,0,0,1,156
Empleado 701,0.46,0.54,2,3,0,0,1,143
Empleado 702,0.89,0.82,4,5,0,0,1,243
Empleado 703,0.45,0.5,2,3,0,0,0,147
Empleado 704,0.44,0.53,2,3,0,0,0,159
Empleado 705,0.74,0.54,5,3,0,0,0,216
Empleado 706,0.45,0.54,2,3,0,0,0,152
Empleado 707,0.79,0.93,4,5,0,0,0,226
Empleado 708,0.79,0.91,5,5,0,0,0,271
Empleado 709,0.11,0.87,6,4,0,0,0,255
Empleado 710,0.42,0.48,2,3,0,0,0,140
Empleado 711,0.64,0.9,6,2,0,0,0,252
Empleado 712,0.4,0.55,2,3,0,0,0,159
Empleado 713,0.84,0.98,5,5,0,0,0,270
Empleado 714,0.73,0.92,5,5,0,0,0,232
Empleado 715,0.4,0.51,2,3,0,0,0,144
Empleado 716,0.36,0.45,2,3,0,0,0,127
Empleado 717,0.43,0.47,2,3,0,0,0,131
Empleado 718,0.11,0.78,6,4,0,0,0,243
Empleado 719,0.91,1,5,6,0,0,0,244
Empleado 720,0.8,1,5,5,0,0,0,260
Empleado 721,0.42,0.49,2,3,0,0,0,139
Empleado 722,0.31,0.87,4,3,0,0,0,184
Empleado 723,0.44,0.47,2,3,0,0,0,130
Empleado 724,0.38,0.54,2,3,0,0,1,135
Empleado 725,0.45,0.56,2,3,0,0,1,146
Empleado 726,0.43,0.46,2,3,0,0,1,149
Empleado 727,0.45,0.46,2,3,1,0,1,153
Empleado 728,0.43,0.57,2,3,0,0,1,160
Empleado 729,0.43,0.49,2,3,0,0,1,160
Empleado 730,0.09,0.83,6,4,0,0,1,282
Empleado 731,0.43,0.47,2,3,0,0,1,128
Empleado 732,0.79,0.94,4,5,0,0,1,232
Empleado 733,0.85,0.58,3,2,0,0,1,226
Empleado 734,0.38,0.45,2,3,0,0,1,129
Empleado 735,0.11,0.92,7,4,0,0,1,255
Empleado 736,0.83,0.99,5,5,0,0,2,258
Empleado 737,0.81,0.91,4,5,0,0,0,229
Empleado 738,0.42,0.56,2,3,0,0,1,143
Empleado 739,0.11,0.87,6,4,0,0,1,257
Empleado 740,0.11,0.85,7,4,0,0,1,275
Empleado 741,0.1,0.89,7,4,0,0,1,291
Empleado 742,0.5,0.54,5,4,0,0,0,153
Empleado 743,0.44,0.49,2,3,0,0,0,154
Empleado 744,0.11,0.9,6,4,0,0,0,301
Empleado 745,0.39,0.52,2,3,0,0,0,134
Empleado 746,0.11,0.78,6,4,0,0,0,245
Empleado 747,0.36,0.5,2,3,0,0,0,132
Empleado 748,0.43,0.51,2,3,0,0,0,130
Empleado 749,0.4,0.5,2,3,0,0,0,127
Empleado 750,0.86,0.84,4,6,0,0,0,246
Empleado 751,0.38,0.49,2,3,0,0,0,145
Empleado 752,0.46,0.45,2,3,0,1,0,138
Empleado 753,0.37,0.57,2,3,0,0,0,129
Empleado 754,0.43,0.52,2,3,0,0,0,150
Empleado 755,0.66,0.93,5,5,0,0,0,253
Empleado 756,0.37,0.48,2,3,0,0,0,160
Empleado 757,0.77,0.92,5,5,0,0,0,235
Empleado 758,0.38,0.55,2,3,0,0,0,151
Empleado 759,0.39,0.54,2,3,0,0,0,127
Empleado 760,0.41,0.55,2,3,0,0,0,151
Empleado 761,0.1,0.9,7,4,0,0,0,290
Empleado 762,0.09,0.93,6,4,0,0,0,249
Empleado 763,0.41,0.47,2,3,0,0,1,131
Empleado 764,0.39,0.46,2,3,0,0,1,159
Empleado 765,0.83,0.99,4,5,0,0,1,223
Empleado 766,0.09,0.87,3,2,0,0,1,214
Empleado 767,0.75,0.81,5,5,0,0,1,227
Empleado 768,0.44,0.54,2,3,0,0,1,127
Empleado 769,0.1,0.84,6,5,0,0,1,293
Empleado 770,0.42,0.46,2,3,0,0,1,141
Empleado 771,0.1,0.83,6,4,0,0,1,300
Empleado 772,0.1,0.86,6,4,0,0,1,309
Empleado 773,0.31,0.77,4,3,0,0,1,149
Empleado 774,0.42,0.54,2,3,0,0,1,159
Empleado 775,0.38,0.5,2,3,0,0,2,152
Empleado 776,0.39,0.57,2,3,0,0,0,158
Empleado 777,0.1,0.97,6,5,0,0,1,254
Empleado 778,0.11,0.93,6,4,0,0,1,294
Empleado 779,0.1,0.92,7,4,0,0,1,269
Empleado 780,0.11,0.9,7,4,0,0,1,247
Empleado 781,0.44,0.65,3,4,0,0,0,271
Empleado 782,0.91,0.96,4,5,0,0,0,232
Empleado 783,0.72,1,4,5,0,0,0,245
Empleado 784,0.36,0.46,2,3,0,0,0,132
Empleado 785,0.44,0.57,2,3,0,0,0,131
Empleado 786,0.85,0.99,5,5,0,0,0,248
Empleado 787,0.78,0.93,5,5,0,0,0,225
Empleado 788,0.39,0.46,2,3,0,0,0,156
Empleado 789,0.78,0.81,3,2,0,0,0,222
Empleado 790,0.1,0.92,6,4,1,0,0,243
Empleado 791,0.23,0.99,4,4,1,0,0,204
Empleado 792,0.11,0.87,6,4,0,0,0,301
Empleado 793,0.9,0.83,5,5,0,0,0,259
Empleado 794,0.91,0.89,4,5,0,0,0,247
Empleado 795,0.11,0.79,7,4,0,0,0,295
Empleado 796,0.43,0.54,2,3,0,0,0,150
Empleado 797,0.45,0.49,2,3,0,0,0,151
Empleado 798,0.11,0.91,5,4,0,0,0,291
Empleado 799,0.11,0.93,6,4,1,0,0,253
Empleado 800,0.43,0.5,2,3,0,0,0,161
Empleado 801,0.91,0.97,4,6,0,0,0,251
Empleado 802,0.43,0.55,2,3,0,0,1,153
Empleado 803,0.85,0.82,5,6,0,0,1,264
Empleado 804,0.1,0.77,6,4,0,0,1,310
Empleado 805,0.81,0.95,5,5,0,0,1,266
Empleado 806,0.36,0.62,4,2,0,0,1,237
Empleado 807,0.45,0.54,2,3,0,0,1,138
Empleado 808,0.86,1,5,5,0,0,1,227
Empleado 809,0.71,1,4,5,0,0,1,300
Empleado 810,0.11,0.97,7,4,0,0,1,310
Empleado 811,0.84,0.93,5,5,0,0,1,236
Empleado 812,0.09,0.97,7,4,0,0,1,288
Empleado 813,0.38,0.49,2,3,0,0,1,127
Empleado 814,0.15,0.55,6,4,0,0,2,139
Empleado 815,0.1,0.92,7,4,1,0,0,253
Empleado 816,0.8,0.97,4,5,1,0,1,218
Empleado 817,0.84,0.97,5,5,0,0,1,251
Empleado 818,0.11,0.87,6,4,0,0,1,264
Empleado 819,0.89,0.79,3,2,0,0,1,149
Empleado 820,0.45,0.51,2,3,0,0,0,138
Empleado 821,0.11,0.93,7,4,0,0,0,284
Empleado 822,0.74,0.93,5,5,0,0,0,244
Empleado 823,0.41,0.5,2,3,0,0,0,128
Empleado 824,0.44,0.53,2,3,0,0,0,154
Empleado 825,0.37,0.56,2,3,0,0,0,138
Empleado 826,0.11,0.86,6,4,0,0,0,308
Empleado 827,0.1,0.93,6,4,0,0,0,269
Empleado 828,0.7,0.74,6,3,0,0,0,136
Empleado 829,0.59,1,2,5,0,0,0,160
Empleado 830,0.38,0.53,2,3,0,0,0,138
Empleado 831,0.72,0.95,4,5,0,0,0,220
Empleado 832,0.73,1,5,5,0,0,0,274
Empleado 833,0.39,0.48,2,3,0,0,0,161
Empleado 834,0.89,0.82,5,6,0,0,0,224
Empleado 835,0.89,1,4,5,0,0,0,260
Empleado 836,0.11,0.78,6,4,1,0,0,300
Empleado 837,0.43,0.56,2,3,0,0,0,133
Empleado 838,0.09,0.93,6,4,0,0,0,308
Empleado 839,0.81,0.9,5,6,0,0,0,238
Empleado 840,0.37,0.53,2,3,0,0,0,126
Empleado 841,0.36,0.56,2,3,0,0,1,138
Empleado 842,0.11,0.85,6,4,0,0,1,299
Empleado 843,0.1,0.85,6,4,0,0,1,254
Empleado 844,0.66,0.47,7,2,0,0,1,156
Empleado 845,0.39,0.47,2,3,0,0,1,152
Empleado 846,0.44,0.51,2,3,0,0,1,146
Empleado 847,0.1,0.84,6,4,0,0,1,253
Empleado 848,0.79,0.94,5,6,0,0,1,227
Empleado 849,0.1,0.81,6,4,1,0,1,301
Empleado 850,0.54,0.94,6,3,0,0,1,294
Empleado 851,0.37,0.47,2,3,0,0,1,151
Empleado 852,0.37,0.57,2,3,0,0,1,128
Empleado 853,0.82,0.89,5,5,0,0,2,217
Empleado 854,0.45,0.52,2,3,0,0,0,160
Empleado 855,0.79,0.9,5,5,0,0,1,263
Empleado 856,0.42,0.56,2,3,0,0,1,156
Empleado 857,0.1,0.85,6,4,0,0,1,273
Empleado 858,0.11,0.78,6,4,0,0,1,303
Empleado 859,0.74,1,4,5,0,0,0,253
Empleado 860,0.1,0.93,6,4,0,0,0,270
Empleado 861,0.79,1,4,5,0,0,0,218
Empleado 862,0.43,0.48,2,3,0,0,0,144
Empleado 863,0.41,0.47,2,3,0,0,0,154
Empleado 864,0.39,0.55,2,3,0,0,0,146
Empleado 865,0.1,0.94,6,4,0,0,0,260
Empleado 866,0.82,0.85,5,5,0,0,0,218
Empleado 867,0.41,0.46,2,3,0,0,0,128
Empleado 868,0.42,0.56,2,3,0,0,0,128
Empleado 869,0.74,0.88,4,6,0,0,0,248
Empleado 870,0.38,0.57,2,3,1,0,0,152
Empleado 871,0.39,0.56,2,3,0,0,0,126
Empleado 872,0.87,0.94,4,5,0,0,0,260
Empleado 873,0.1,0.9,5,4,0,0,0,263
Empleado 874,0.78,1,5,5,0,0,0,220
Empleado 875,0.14,0.73,7,5,0,0,0,282
Empleado 876,0.11,0.94,6,5,0,0,0,277
Empleado 877,0.91,0.94,5,5,0,0,0,257
Empleado 878,0.49,0.63,6,3,0,0,0,265
Empleado 879,0.38,0.47,2,3,0,0,0,143
Empleado 880,0.82,0.97,5,5,0,0,1,263
Empleado 881,0.38,0.88,3,4,0,0,1,154
Empleado 882,0.89,1,5,5,0,0,1,253
Empleado 883,0.11,0.79,6,4,0,0,1,294
Empleado 884,0.37,0.51,2,3,0,0,1,128
Empleado 885,0.38,0.5,2,3,0,0,1,153
Empleado 886,0.78,0.87,5,5,0,0,1,256
Empleado 887,0.41,0.51,2,3,0,0,1,127
Empleado 888,0.41,0.51,2,3,0,0,1,137
Empleado 889,0.11,0.83,6,4,0,0,1,295
Empleado 890,0.11,0.79,6,4,0,0,1,281
Empleado 891,0.43,0.57,2,3,1,0,1,131
Empleado 892,0.75,0.86,5,5,0,0,2,237
Empleado 893,0.74,0.99,4,5,0,0,0,276
Empleado 894,0.85,0.85,5,5,0,0,1,267
Empleado 895,0.73,0.92,5,5,0,0,1,266
Empleado 896,0.1,0.79,6,4,0,0,1,294
Empleado 897,0.44,0.56,2,3,0,0,1,134
Empleado 898,0.3,0.56,3,4,1,0,0,309
Empleado 899,0.11,0.77,7,4,0,0,0,273
Empleado 900,0.84,0.83,5,5,0,0,0,238
Empleado 901,0.78,0.94,5,6,0,0,0,271
Empleado 902,0.43,0.53,2,3,0,0,0,145
Empleado 903,0.36,0.55,2,3,0,0,0,152
Empleado 904,0.43,0.47,2,3,0,0,0,128
Empleado 905,0.45,0.46,2,3,0,0,0,142
Empleado 906,0.76,0.93,5,5,0,0,0,238
Empleado 907,0.1,0.78,7,4,0,0,0,286
Empleado 908,0.09,0.86,6,4,0,0,0,291
Empleado 909,0.92,1,5,5,0,0,0,259
Empleado 910,0.92,0.9,5,5,0,0,0,248
Empleado 911,0.79,0.98,4,5,0,0,0,271
Empleado 912,0.43,0.51,2,3,0,0,0,140
Empleado 913,0.8,0.95,4,5,0,0,0,274
Empleado 914,0.44,0.49,2,3,1,0,0,127
Empleado 915,0.89,0.87,5,6,0,0,0,275
Empleado 916,0.48,0.88,3,3,0,0,0,239
Empleado 917,0.11,0.82,6,4,1,0,0,304
Empleado 918,0.38,0.55,2,3,0,0,0,145
Empleado 919,0.11,0.85,6,4,0,0,1,259
Empleado 920,0.82,0.86,4,5,0,0,1,264
Empleado 921,0.37,0.45,2,3,0,0,1,160
Empleado 922,0.4,0.48,2,3,0,0,1,138
Empleado 923,0.43,0.47,2,3,0,0,1,137
Empleado 924,0.44,0.5,2,3,0,0,1,156
Empleado 925,0.42,0.56,2,3,0,0,1,147
Empleado 926,0.11,0.8,7,4,0,0,1,243
Empleado 927,0.78,0.87,4,5,0,0,1,236
Empleado 928,0.46,0.86,2,4,0,0,1,212
Empleado 929,0.77,0.91,5,6,0,0,1,261
Empleado 930,0.83,0.82,4,5,0,0,1,243
Empleado 931,0.32,0.58,5,5,0,0,2,271
Empleado 932,0.9,0.92,5,4,0,0,0,154
Empleado 933,0.42,0.52,2,3,0,0,1,151
Empleado 934,0.1,0.96,6,4,1,0,1,254
Empleado 935,0.1,0.91,6,4,0,0,1,285
Empleado 936,0.44,0.49,2,3,0,0,1,130
Empleado 937,0.1,0.95,7,4,0,0,0,301
Empleado 938,0.11,0.8,6,4,0,0,0,286
Empleado 939,0.1,0.89,6,4,0,0,0,246
Empleado 940,0.39,0.47,2,3,0,0,0,135
Empleado 941,0.92,0.92,4,5,0,0,0,245
Empleado 942,0.43,0.56,2,3,0,0,0,136
Empleado 943,0.11,0.89,6,4,0,0,0,301
Empleado 944,0.81,1,5,5,0,0,0,235
Empleado 945,0.11,0.85,7,4,0,0,0,272
Empleado 946,0.87,1,5,5,0,0,0,274
Empleado 947,0.37,0.46,2,3,0,0,0,131
Empleado 948,0.39,0.56,2,3,0,0,0,135
Empleado 949,0.61,0.86,4,4,0,0,0,196
Empleado 950,0.11,0.95,6,4,0,0,0,285
Empleado 951,0.09,0.9,7,5,0,0,0,289
Empleado 952,0.36,0.52,2,3,0,0,0,157
Empleado 953,0.09,0.94,6,4,0,0,0,308
Empleado 954,0.41,0.71,4,5,0,0,0,301
Empleado 955,0.4,0.46,2,3,0,0,0,131
Empleado 956,0.1,0.91,6,5,1,0,0,262
Empleado 957,0.46,0.53,2,3,1,0,0,143
Empleado 958,0.39,0.57,2,3,0,0,1,133
Empleado 959,0.41,0.5,2,3,0,0,1,153
Empleado 960,0.1,0.94,7,4,0,0,1,281
Empleado 961,0.39,0.51,2,3,0,0,1,132
Empleado 962,0.73,0.83,5,5,1,0,1,270
Empleado 963,0.41,0.45,2,3,0,0,1,150
Empleado 964,0.37,0.51,2,3,0,0,1,140
Empleado 965,0.38,0.5,2,3,1,0,1,150
Empleado 966,0.8,0.63,5,5,0,0,1,180
Empleado 967,0.09,0.85,5,4,0,0,1,281
Empleado 968,0.85,0.92,4,5,0,0,1,275
Empleado 969,0.42,0.54,2,3,0,0,1,130
Empleado 970,0.41,0.48,2,3,0,0,2,130
Empleado 971,0.38,0.46,2,3,0,0,0,147
Empleado 972,0.72,1,5,5,0,0,1,264
Empleado 973,0.11,0.74,6,5,0,0,1,290
Empleado 974,0.37,0.47,2,3,0,0,1,150
Empleado 975,0.1,0.81,6,4,0,0,1,304
Empleado 976,0.36,0.54,2,3,0,0,0,136
Empleado 977,0.92,0.94,5,5,0,0,0,307
Empleado 978,0.11,0.87,5,4,0,0,0,303
Empleado 979,0.39,0.56,2,3,0,0,0,156
Empleado 980,0.11,0.95,6,4,0,0,0,271
Empleado 981,0.45,0.45,2,3,0,0,0,140
Empleado 982,0.44,0.55,2,3,1,0,0,130
Empleado 983,0.85,0.97,4,6,0,0,0,266
Empleado 984,0.43,0.52,2,3,0,0,0,139
Empleado 985,0.75,0.86,5,5,0,0,0,260
Empleado 986,0.11,0.55,2,3,1,0,0,137
Empleado 987,0.36,0.5,2,3,0,0,0,158
Empleado 988,0.1,0.79,6,4,0,0,0,249
Empleado 989,0.74,0.89,5,5,0,0,0,259
Empleado 990,0.4,0.46,2,3,0,0,0,144
Empleado 991,0.09,0.77,6,4,0,0,0,244
Empleado 992,0.76,0.91,4,5,0,0,0,219
Empleado 993,0.45,0.57,2,3,0,0,0,151
Empleado 994,0.84,0.88,4,5,0,0,0,269
Empleado 995,0.38,0.45,2,3,0,0,0,127
Empleado 996,0.38,0.46,2,3,0,0,0,144
Empleado 997,0.38,0.54,2,3,0,0,1,157
Empleado 998,0.86,0.94,5,5,0,0,1,224
Empleado 999,0.37,0.46,2,3,0,0,1,155
Empleado 1000,0.37,0.5,2,3,0,0,1,131
Empleado 1001,0.87,1,4,5,1,1,1,258
Empleado 1002,0.11,0.85,6,4,0,0,1,267
Empleado 1003,0.42,0.5,2,3,0,0,1,141
Empleado 1004,0.43,0.48,2,3,0,0,1,160
Empleado 1005,0.09,0.8,6,4,0,0,1,247
Empleado 1006,0.54,0.56,4,3,0,0,1,260
Empleado 1007,0.4,0.47,2,3,0,0,1,151
Empleado 1008,0.36,0.52,2,3,1,0,1,137
Empleado 1009,0.87,0.9,4,5,0,0,2,256
Empleado 1010,0.75,0.88,4,5,0,0,0,239
Empleado 1011,0.43,0.53,2,3,0,0,1,152
Empleado 1012,0.43,0.47,2,3,0,0,1,149
Empleado 1013,0.1,0.87,6,4,0,0,1,284
Empleado 1014,0.11,0.78,7,4,0,0,1,248
Empleado 1015,0.44,0.53,2,3,0,0,0,156
Empleado 1016,0.39,0.48,2,3,0,0,0,138
Empleado 1017,0.4,0.55,2,3,0,0,0,155
Empleado 1018,0.92,0.87,4,6,0,0,0,229
Empleado 1019,0.36,0.47,2,3,0,0,0,136
Empleado 1020,0.86,0.95,4,5,0,0,0,241
Empleado 1021,0.74,0.87,5,5,0,0,0,258
Empleado 1022,0.8,0.95,3,5,0,0,0,146
Empleado 1023,0.36,0.48,2,3,0,0,0,145
Empleado 1024,0.42,0.57,2,3,0,0,0,159
Empleado 1025,0.42,0.47,2,3,0,0,0,129
Empleado 1026,0.4,0.45,2,3,0,0,0,142
